id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,amount,float_cap,turnover_rate,pe_ttm,pb,created_at
mm1lw36y08q9l8n6w,688361,中科飞测,2026-02-05,1,184.02,190.62,193.37,180.38,5366900,1023038478,70593000000,1.45,,,2026-02-25T05:40:56.746Z
mm1lw36ykuue1pnkz,688361,中科飞测,2026-02-06,1,189.74,192.00,196.88,187.02,5924100,1137427200,70593000000,1.61,,,2026-02-25T05:40:56.746Z
mm1lw36yotr4njusx,688361,中科飞测,2026-02-09,1,196.00,199.20,202.66,194.49,5642400,1123966080,70593000000,1.59,,,2026-02-25T05:40:56.746Z
mm1lw36yja9grcn7u,688361,中科飞测,2026-02-10,1,198.84,194.08,199.99,191.30,4295200,833612416,70593000000,1.18,,,2026-02-25T05:40:56.746Z
mm1lw36ybwrg7wkn0,688361,中科飞测,2026-02-11,1,195.26,192.97,195.26,188.51,2629600,507433912,70593000000,0.72,,,2026-02-25T05:40:56.746Z
mm1lw36yjgmwepbqu,688361,中科飞测,2026-02-12,1,194.66,192.20,194.93,188.50,2970700,570968540,70593000000,0.81,,,2026-02-25T05:40:56.746Z
mm1lw36ymqfn88djo,688361,中科飞测,2026-02-13,1,188.00,196.50,202.98,188.00,5159600,1013861400,70593000000,1.44,,,2026-02-25T05:40:56.746Z
mm1lw36yfk7fx9wjc,688361,中科飞测,2026-02-24,1,196.50,195.28,199.62,187.00,3939800,769364144,70593000000,1.09,,,2026-02-25T05:40:56.746Z
mm25qry7t35wd77c0,688361,中科飞测,2026-02-25,1,195.670,201.600,206.480,187.390,7588022,1529745235,70593000000,2.17,,,2026-02-25T14:56:41.215Z
mm1lw3n9vugvk7r9l,002371,北方华创,2026-02-04,1,468.03,470.60,476.00,464.50,6065700,2854518420,359517000000,0.79,,,2026-02-25T05:40:57.333Z
mm1lw3n9gzomgmpx5,002371,北方华创,2026-02-05,1,463.00,470.12,472.50,455.49,7707100,3623261852,359517000000,1.01,,,2026-02-25T05:40:57.333Z
mm1lw3n9r7ohhws0c,002371,北方华创,2026-02-06,1,467.99,472.23,479.99,465.00,8336400,3936698172,359517000000,1.09,,,2026-02-25T05:40:57.333Z
mm1lw3n9h4od5x41u,002371,北方华创,2026-02-09,1,479.09,484.00,488.76,476.00,6953400,3365445600,359517000000,0.94,,,2026-02-25T05:40:57.333Z
mm1lw3n902674a9nl,002371,北方华创,2026-02-10,1,487.95,482.90,487.95,480.30,4462000,2154699800,359517000000,0.60,,,2026-02-25T05:40:57.333Z
mm1lw3n9qw58bjgib,002371,北方华创,2026-02-11,1,478.80,475.00,481.00,471.00,4454100,2115697500,359517000000,0.59,,,2026-02-25T05:40:57.333Z
mm1lw3n9jordut09o,002371,北方华创,2026-02-12,1,477.53,475.05,478.00,471.39,5114900,2429833245,359517000000,0.68,,,2026-02-25T05:40:57.333Z
mm1lw3n96d14ekmwq,002371,北方华创,2026-02-13,1,479.79,486.12,496.65,475.18,11062300,5377605276,359517000000,1.50,,,2026-02-25T05:40:57.333Z
mm1lw3n9kt9xa1que,002371,北方华创,2026-02-24,1,491.80,487.33,494.00,476.03,6782800,3305461924,359517000000,0.92,,,2026-02-25T05:40:57.333Z
mm25qsgaz7whu105q,002371,北方华创,2026-02-25,1,488.470,496.000,499.680,480.770,7889200,3913043200,359517000000,1.09,,,2026-02-25T14:56:41.866Z
mm1lw42pn67nl5yt5,603160,汇顶科技,2026-02-04,1,77.22,77.70,77.79,76.57,5239700,407124690,36710000000,1.11,,,2026-02-25T05:40:57.888Z
mm1lw42pdfztpi7u0,603160,汇顶科技,2026-02-05,1,77.39,77.11,77.42,76.72,4423100,341065241,36710000000,0.93,,,2026-02-25T05:40:57.888Z
mm1lw42p04gepjwm7,603160,汇顶科技,2026-02-06,1,76.80,76.90,77.51,76.19,4182900,321665010,36710000000,0.88,,,2026-02-25T05:40:57.888Z
mm1lw42pn2oz1mbw9,603160,汇顶科技,2026-02-09,1,77.66,78.11,78.25,77.05,5433700,424426307,36710000000,1.16,,,2026-02-25T05:40:57.888Z
mm1lw42p2pgs7nlxf,603160,汇顶科技,2026-02-10,1,78.10,78.07,78.88,77.90,4024200,314169294,36710000000,0.86,,,2026-02-25T05:40:57.888Z
mm1lw42p1z0cjhynl,603160,汇顶科技,2026-02-11,1,77.90,77.99,78.73,77.80,2958300,230717817,36710000000,0.63,,,2026-02-25T05:40:57.888Z
mm1lw42pnmfcu6re7,603160,汇顶科技,2026-02-12,1,78.01,78.60,78.75,77.85,4171500,327879900,36710000000,0.89,,,2026-02-25T05:40:57.888Z
mm1lw42pz155ifhf5,603160,汇顶科技,2026-02-13,1,78.30,78.70,79.41,78.10,5061900,398371530,36710000000,1.09,,,2026-02-25T05:40:57.888Z
mm1lw42pa7qzyui3e,603160,汇顶科技,2026-02-24,1,79.08,78.89,79.48,78.38,3993700,315062993,36710000000,0.86,,,2026-02-25T05:40:57.888Z
