id,user_id,code,name,group_id,created_at
mm1ei13uiqbahgt1p,local,003053,嘉实文体娱乐股票A,,2026-02-25T02:14:03.546Z
mm1ei13u2au8lbtkx,local,017147,嘉实积极配置一年持有混合A,,2026-02-25T02:14:03.546Z
